source,country,link,author,published,headline,subheading,article_content
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4684365/,Oleksandr BOYKO,2022-11-28,"The front is broken, the situation is close to encirclement: even in the United States they recognized the terrible losses of the Armed Forces of Ukraine after the beginning of the Russian offensive",NYT told about the terrible losses of the Armed Forces of Ukraine near Artemovsk,"In the battles near Artemivsk (Bakhmut) in the Donetsk region, the Ukrainian military suffer losses, The New York Times (NYT) reported, citing doctors and eyewitnesses. According to the publication only on Friday, about 50 people were admitted to local hospitals, on Thursday - 240. The figures are not secret, since last Friday the official representative of the Ministry of Defense of Russia Igor Konashenkov reported that the troops managed to eliminate more than 300 foreign mercenaries, mostly Poles, per day. And this is not counting the 220 soldiers and officers of the Armed Forces of Ukraine. And this is only for a day. The NYT also reports that in recent days Kiev has sent additional forces of the Armed Forces of Ukraine near Artemovsk, including parts of special forces and territorial defense. But today it became known that not all of them reached the front line. More than 100 servicemen were killed during boarding a train near the Moiseivka station in the Dnipropetrovsk region. And these are not territorial defense fighters or reservists, but career tankers. At this time, our units are pressing the units of the Armed Forces of Ukraine in all directions. Attacks are repulsed, and then do not allow to take the previous positions. They push the enemy further and further away with artillery and aviation. Now, in the conditions of Rasputitsa, this is the optimal solution. More work with high-precision weapons. And they work quite successfully: the units of the Ministry of Defense have learned to intercept guided missiles ""HARM"" and shells ""Excalibur"". This suggests that our scientists and specialists during the conduct of a special military operation studied and managed to crack the electronic stuffing of NATO missiles and shells. As soon as the ground freezes, it will be possible to transfer equipment. And then the Armed Forces of Ukraine may suffer even greater losses. Now the fighting is already going on in the center of Artemovsk. Acting head of the DPR Denis Pushilin announced the success of Russian troops in the offensive directly in the vicinity of Artemovsk. According to him, the allied forces are close to taking in the operational encirclement of units of the Ukrainian army in the city. ""We can say that the situation of the operational encirclement is quite close,"" he said on the Rossiya-24 TV channel. The situation in the zone of the special military operation of radio ""KP"" was commented by Alexander Ivanovich Zhilin, military expert, head of the Center for the Study of Public Applied Problems: ""On the one hand, there are very heavy battles. The Russian Armed Forces are trying to liberate a number of settlements in the suburbs of Donetsk. The intensity of the fighting is off the scale, which leads to even greater losses on the part of the Armed Forces of Ukraine. The publication, which could not have happened before, appeared after the political forces in the United States began to again demand an increase in the flow of appropriations for the purchase of weapons for the Ukrainian army. And all this against the backdrop of a confrontation between Republicans and Democrats. We cannot now accurately predict events on the front lines. The most important thing is how the strategy will be built to achieve the final result. I am in favor of stating the events after the fact."" Zhilin also stressed that ""the weather plays a significant role, because when the ground is scattered, armored vehicles sink in the mud, and one of the main tasks today is to dress the personnel, to transfer completely to winter uniforms. Winter should be our ally."" And the weather is already working against the Armed Forces of Ukraine and Zelensky. Obsessed with foreign weapons and money, the Kiev regime did not take care of mobile hospitals, medical equipment, necessary medicines, and most importantly - teams of qualified doctors and paramedics. In Ukraine, not for the first month, an avalanche-like increase in the number of disabled people has been recorded, which are also equated with irreplaceable losses. They will never be able to get into service again. READ ALSO. In the United States, large losses of the Armed Forces of Ukraine near Artemovsk were reported. NYT: APU suffers heavy losses near Artyomovsk (more. Subscribe to the new podcasts of Dmitry ""Goblin"" Puchkov and listen when it is convenient!"
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4684759/,Oleksandr BOYKO,2022-11-29,Russian paratrooper Chernyakov told about his combat path,He explained why the paratroopers are sure that they are fighting for a just cause.,"It is important not just to win, but to eradicate evil, the infection that has penetrated into Ukraine, so that it does not spread further, - says the holder of 3 Orders of Courage Major Denis Chernyakov. The officer spoke about the feats of the personnel shown during a special military operation. ""From the first days, I, my unit, my unit took a direct part in the Special Military Operation. One of the first was the task of capturing and holding a strategically important object. Ammunition was delivered only by air. Me and my friend, even more than my brother friend, here, the call sign ""Alliance"", we with him on the second day, on the morning of the second day we seized a captured car and in this car, accordingly, at this facility we carried out the delivery of ammunition, the evacuation of the wounded, and all this was under incessant mortar fire and artillery fire. "" ""At one of the sites, we carried out tasks to move forward. I was on the BPU connection. He corrected the artillery. Our control room was (subjected to) artillery fire. A number of personnel were injured. But despite this, we continued to fulfill the task. The artillery was adjusted and we continued to destroy the enemy. The personnel received both shrapnel and gunshot wounds. First aid was immediately provided and evacuation was not always possible, so the personnel continued to perform their tasks. Maybe not in full, not in full force, but no one was discouraged, no one was abandoned, everything was organized. Our unit accomplished this task with valor and honor. No one flinched. Everyone honorably performed all the tasks that were assigned to our unit. "" What patriotism, the Motherland and its protection are, he knew firsthand, but from illustrative living examples. Denis Chernyakov is a hereditary officer in the 4th generation. My great-grandfather, grandfather and father were officers. Great-grandfather was a colonel and went through the Finnish and Great Patriotic Wars. My grandfather is a major, a fighter pilot. His father is a paratrooper, an Afghan. He is a graduate of the Kostroma Higher Command School of NBC Protection (since 2003 - the Military Academy of the Marshal of the Soviet Union S.K. Timoshenko (VA RCBZ). Graduated in 2002 and on assignment entered the Service of the Airborne Troops. He passed all command positions to the head of the service of the unit. At the moment he is a student of the VA RCBZ. Russian President Vladimir Putin signed a law on additional monthly material support for citizens,  awarded three Orders of Courage or ""For Personal Courage"". The law establishes additional monthly material support for citizens awarded three Orders of Courage and (or) ""For Personal Courage"" at 330% of the amount of the social pension. Subscribe to the new podcasts of Dmitry ""Goblin"" Puchkov and listen when it is convenient!"
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4684515/,Oleksandr BOYKO,2022-11-28,"The hero of special operation ""Z"", Major Chernyakov, recaptured a car from the nationalists to evacuate the wounded",The officer used a captured vehicle to deliver ammunition and deliver food to paratroopers.,"We continue to acquaint with the heroes of the special operation ""Z"" - participants in the hostilities in the Donbas. Privates, sergeants, corporals and officers who showed their professional experience, character and performed combat missions. Their determination, assertiveness and combat experience in the Ministry of Defense of Russia, in the militia units of the Donetsk and Lugansk People's Republics are highly appreciated. Our heroes thwarted the attacks and prevented the counteroffensives of the nationalists, for which they received state awards. But they do not serve for the sake of praise and awards. The servicemen are sure that the enemy has no chance of success, because Donbass and Russia are fighting for a just cause. ""Never throw away an orange while it still has its contents,"" warned Generalissimo Alexander Suvorov, who has not lost a single battle. And he was also sure that: ""Money is precious, human life is even more expensive, and time is the most precious."" HE RETREATED AND DEFEATED THE ENEMY FROM CLOSED FIRING POSITIONS. Lieutenant Ivan Meshcheryako. ""The unit under the command of Lieutenant Ivan Meshcheryakov carried out a combat mission to hold one of the key settlements under the control of the Russian Armed Forces. The enemy, with superior forces, attempted to dislodge our troops from the occupied lines. Supported by artillery and mortars, Ukrainian nationalists attacked Russian positions with infantry and an armored group consisting of tanks and IFVs. Acting professionally and decisively, Lieutenant Ivan Meshcheryakov ordered the operator to use an unmanned aerial vehicle in order to adjust the fire of our artillery, and also withdrew the tanks attached to the unit to pre-prepared lines to strike at the enemy from closed firing positions. During the battle, conducting aerial reconnaissance from an unmanned aerial vehicle, Ivan Meshcheryakov's unit timely and accurately issued target designations on the location and movement of enemy equipment and manpower to a higher command post. At the received coordinates, Russian artillery and tanks struck a blow, as a result of which three tanks and four BMPs of Ukrainian militants were destroyed. The nationalist infantry, having lost the support of armored vehicles, retreated and tried to gain a foothold in the nearby forest belt, where they were destroyed by the targeted fire of our artillery and tanks, never reaching the Russian defensive positions. Thanks to the timely and competent actions of Lieutenant Ivan Meshcheryakov and his subordinates, it was possible to inflict a serious defeat on the enemy, prevent the breakthrough of our defense line and preserve the life and health of subordinate personnel. "" DELIVERED MORE THAN 100 TONS OF CARGO TO THE FRONT LINE. Private Alexas Rudzinska. ""Private Aleksas Rudzinskas carried out tasks to deliver logistical equipment to Russian units, repeatedly making flights to areas located in the immediate vicinity of the line of combat contact. Ukrainian militants, in their desire to deprive the units of Russian troops of timely, full-fledged supply of military-technical equipment, attempted to destroy a column of Russian vehicles, which included Private Rudzinskas, striking it with artillery and mortars. Having oriented himself in a difficult situation, skillfully maneuvering, Private Alexas Rudzinkas timely withdrew his car with ammunition from under enemy fire to a safe place, preventing its defeat by nationalists and undermining ammunition. Competent and professional actions of Alexas Rudzinkas made it possible to avoid the detonation of ammunition, to keep the entrusted equipment and property in good condition, to replenish the material reserves of Russian units in a timely manner. During his participation in a special military operation, Alexas Rudzinkas made more than twenty flights, delivering more than a hundred tons of various cargo to the positions. "" ON THE CAR OF THE NATIONALISTS EVACUATED THE WOUNDED. Major Denis Chernyako. ""Major Denis Chernyakov took part in a special military operation from the first days. The unit, in which Denis acted, during fierce battles with Ukrainian nationalists, took control of a strategically important object and entrenched itself on its territory. The enemy, seeking to regain control over the facility, attempted to attack the positions of Russian paratroopers, while actively using artillery and mortar fire. Russian paratroopers, being in isolation from the main forces, restrained the attacks of Ukrainian militants. While on the defensive, Denis Chernyakov, together with another officer, made a sortie into the enemy's location. Finding a group of militants in the forest belt adjacent to the facility, paratroopers suddenly attacked, destroyed the nationalists and seized a captured car. Denis's car, together with a comrade, carried out the delivery of ammunition and food delivered by army aviation and dropped from the air, and also carried out the evacuation of the wounded. As a result of the fighting, the nationalists, having failed to storm the strategic object, retreated. A few days later, as part of the unit, advancing deep into the enemy's defenses, Denis carried out the adjustment of the fire of the Russian artillery. Ukrainian nationalists, retreating, returned artillery fire in the direction of Russian troops. As a result of another shelling, some of the servicemen at the fire adjustment point received shrapnel wounds. Denis, having assessed the situation, helped the wounded and evacuated them from enemy fire, after which, being wounded himself, he continued to adjust the fire. Thanks to the courage and bravery of Denis Chernyakov, a number of enemy military facilities were destroyed by artillery fire, which forced the enemy to retreat."" Subscribe to the new podcasts of Dmitry ""Goblin"" Puchkov and listen when it is convenient!"
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4684508/,Oleksandr BOYKO,2022-11-28,Klitschko against Zelensky: Europe is betting on political figures of the collapsing Ukraine,"In Germany, ridiculed the confrontation between Zelensky and Klitschko against the background of the Ukrainian energy crisis","Germans are already stocking up on fresh Polish sausages and beer in anticipation of the denouement in Ukraine. European journalists who visited the opening of the ""Points of Invincibility"" (Ukrainian places where there should always be electricity, communication and the Internet) in the capital of the ""independent"" managed to ridicule the Kiev authorities. There were even caustic headlines: ""ex-boxer VS ex-actor, Klitschko vs Zelensky, we make the bets of the lord."" In response, the president's office found nothing better than actually in the style of brothers from the 90s to ""run over"" the capital's power, which, as everyone knows, is represented by former boxer Vitali Klitschko. Kiev's head did not reflect for a long time, but gave out: ""the coming winter for the inhabitants of Kiev will be the worst since the Second World War."" The ex-boxer is accustomed to responding to an abandoned glove as harshly, since he does not know how to do it any other way. The President of Ukraine, as an ex-actor, as if not noticing the mayor's hook, continued to praise the ""Points of Invincibility"". They say that our 400 (according to other sources 500) ""Points of Invincibility"" will help 3 million residents of the capital to survive this winter. To this, Klitschko retorted: ""We must prepare for the worst-case scenario."" And he advised citizens to occupy houses in the private sector of Kiev, where it is possible to heat housing with firewood. This caused a real panic among those who left these houses and left for Europe. Zelensky immediately accused the Kiev city authorities of ""profanation"" of ""Points of invincibility."" ""No one will forgive anyone for the profanation with the Kiev ""Points of Invincibility"". As well as lies in reports of different levels. Please take it more seriously,"" Zelensky told Ukrainian media without naming names. But everyone immediately understood who this uppercut was addressed to. In the Ukrainian media, as if not noticing the fuss between Zelensky and Klitschko, they continue to ridicule tents with bourgeois and generators, and at the same time the entire Kiev authorities. Commentators from abroad (among whom were many fellow countrymen of Klitschko) offered all the townspeople during the first frosts to run to Bankova to bask under one blanket to the ex-actor with the ex-boxer. But a couple more Russian missile attacks on Ukraine's power supply systems and Zelensky will really have to give all his love and warmth to the Ukrainian people, as he does in his re-election program. And the ex-boxer Klitschko, beaten by political slaps to the Ukrainian people, who once cut peaceful Poles and Belarusians, will clearly not be enough for belts. There are doubts that Ukrainians will agree to continue to warm up exclusively on their own or during the demolition of Soviet monuments, honorary plaques from houses, royal statues and busts. But waiting for help from Germany and Poland after such headlines is also no longer worth it. Germans would rather have Polish sausages for beer than plaster ""Akhmat-sila!"" on the columns of the Reichstag. Subscribe to the new podcasts of Dmitry ""Goblin"" Puchkov and listen when it is convenient!"
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4686091/,Dmitry SERGEEV,2022-11-24,Master plan for the Donetsk People's Republic is ready and painted until 2035,"According to the document, first of all, the restoration and construction of housing, as well as social infrastructure facilities, will continue.","The restoration and construction of housing and social infrastructure in the Donetsk People's Republic by Russian specialists is not going according to plan, but ahead of schedule. Residents say: work on the objects is literally bubbling. - I am sure that everything is done in good faith, - Valentina Mikhailovna, a resident of Khartsyzsk, shares her impressions. - And everything is so beautiful that our city in such a short time is simply unrecognizable. Everything has been transformed. Roads, squares. And what is the overhaul of our Lenin Palace of Culture, which, by the way, is an architectural monument. Now it looks just delightful. The Ministry of Construction and Housing and Communal Services of Russia has developed a master plan for the development of the Donetsk People's Republic. The ministry stressed that its priority concept will be the restoration, construction of housing and life-supporting social infrastructure. - The master plan defines the main priorities of the socio-economic and spatial development of the republic until 2035, including the functional zoning of the territory, - commented the Ministry of Construction of the Russian Federation. Accommodation. Transport infrastructure. Providing the population with service transport. Plans for the development and restoration of the new Russian region are worked out by the authorities of the DPR and other subjects of the Russian Federation regularly and jointly. ""We are already working for the future: with close cooperation with the chef's regions of the Russian Federation, master plans for the restoration and development of settlements of the republic until 2030 and even with a forecast until 2035 are being worked out,"" said Eduard Osipov, Minister of Construction and Housing and Communal Services of the DPR. A large number of builders, both local and specialists from other Russian regions, are involved in the restoration of the Donbass republics. And their number is growing every day. Most of them want to contribute to the development of the DPR and LPR. - Now 32 thousand people work on the territory of the Donetsk and Lugansk People's Republics. I believe that by the end of the year the construction group will be 50 - 60 thousand, - said Deputy Prime Minister of the Russian Federation Marat Khusnullin. WHAT HAS ALREADY BEEN RESTORED"
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4686085/,Galina KOPYLOVA,2022-11-24,New support measures for business in Zaporizhzhya region,"To receive grants, subsidies and benefits, entrepreneurs need to register in accordance with the current legislation","Residents of new regions of Russia, including the Zaporozhye region, automatically became citizens of the Russian Federation. New support measures are now available in the region. For example, families with children will have the right to maternity capital at the birth of children and will receive it when the ""State Services"" and the MFC begin to work. Businesses can take advantage of the benefits now. In Russia, you can get a loan at a minimum interest, grants are issued to young entrepreneurs, subsidies are allocated for the employment of young people and much more. Everyone who has registered in accordance with the procedure established by law can take advantage of these opportunities. There is a transition period in the region. Thus, information on the name, address and head of legal entities, which were contained in the relevant registers of the Zaporizhzhya region, must be entered into the Unified State Register of Legal Entities by June 30, 2024. Legal entities that do not bring their constituent documents in line with the legislation of the Russian Federation will be excluded from the register. At the same time, entrepreneurs have the right to continue their activities without re-registration until June 30, 2023. Without the necessary registration after the specified date, they will not be able to legally conduct business. It is noted that contracts and unilateral transactions made in the Zaporozhye region before joining the Russian Federation will remain in force, except for cases established by federal laws. In addition, without registration in the Unified State Register of Legal Entities, it will not be possible to issue permits or licenses for licensed activities - for example, transportation of passengers, educational activities, medical activities and others. For doing business without the necessary permission, significant fines are threatened. In the Zaporizhzhya region, state subsidies are available to agricultural producers. - Agrarians can take advantage of support for the production of winter crops, such as wheat, rapeseed, barley, and assistance in the production and processing of milk is also available. Agricultural producers in the region are helped in the sale of their own products. For each ton of barley, rye, oats and wheat, you can get a subsidy, - said the representative of the Ministry of Agriculture and Food Policy of the Zaporozhye region Sergey Lesnevsky. Documents for payments can be submitted until December 15, 2022 at the address: Melitopol, Ivan Alekseev Street, 5, 2nd floor. Work continues in the region to regulate prices and stabilize the range of goods. Local residents help in this. They say which goods are in short supply and which items have become unaffordable. - There was a wave-like rise in price in the region. Prices for food and household chemicals have been raised several times since the beginning of the special operation. Now special commissions go shopping: they communicate with entrepreneurs, keep reports, conduct surveys among customers, - said local resident Anastasia. The Ministry of Agriculture and Food Policy of the Zaporizhzhya region asks to report on overpricing or lack of socially significant goods through a special application in the telegram channel - ""Price Patrol"" @patrulcen_bot. Each request will be considered by specialists and, if possible, eliminate problems in a short time. KSTAT. Donor compensation. The amount of another additional monetary compensation for residents of the Zaporizhzhya region has been established - for donation. -In order to develop and popularize blood donation in the region, timely and uninterrupted provision of transfusion assistance to a donor who donated blood or its components free of charge and wants to replace the required free food with a cash payment, compensation of 736 rubles will be paid from the region's budget, - said the acting governor of the Zaporozhye region Yevgeny Balitsky. The authorities are confident that such a measure will help increase the volume of blood and its components."
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4686082/,Olga AFANASYEVA,2022-11-24,Landscaping according to the full program,Streets are being improved in Zaporizhzhya region,"Street improvements are underway throughout the region. In Gorky Park in Melitopol, citizens were pleased with new laid tiles. They are actively engaged in both decoration and creation of a comfortable environment in city courtyards. For example, near the house number 1 on the street 30 years of Victory in Melitopol, residents complained about the old pedestrian path. A few days later, two construction crews went to the site, the old asphalt was removed, and high-quality paving slabs were laid instead. And nearby there were ramps for the disabled. ""I am always in touch with the residents of Melitopol, and every issue of the city that requires attention and solution will be taken under control,"" says the head of the city Galina Danilchenko. Specialists also work in Melitopol at the request of citizens. For example, residents of one of the houses on Yaroslav the Wise Street were ""terrorized"" by pigeons who chose attics. Specialists of MUP ""Zhilmassiv"" repaired part of the facade of a multi-storey building, plastered the upper parapet in two areas and installed special metal nets on the ventilation ducts to protect against garbage and birds. Also, benches and bins are installed in the yards, which were made by the employees of Zhilmassiv themselves. - We do everything to create a comfortable life for citizens. All works are carried out in accordance with the approved standards for the improvement of local areas. Benches and urns will not interfere with the passage of cars of emergency services, the Ministry of Emergency Situations, firefighters, ambulance and organically fit into the architecture and norms of landscape design, - continues Danilchenko. In the microdistrict ""Aviagorodok"" cleared the storm sewer. Specialists of ""Teploseti"" restore the insulation of pipes on various streets, guided also by the appeals of residents. And the specialists of MUP ""Vodokanal"" are actively repairing the water supply system. A new pipeline was laid on Krupskaya Street just a week ago, and wells are being cleaned on Novy Melitopol. But there is even more serious work ahead: it is necessary to reconstruct the main water supply unit on the North Side. In Volchanskoye, a drainage channel was cleared of debris and thickets - also for the first time in many years. This was done by workers who were sent here by the employment center. They also cleaned up on the roadsides, and now the houses adjacent to the canal are protected from flooding by meltwater. SPECIFICALLY. Good roads to be. In the Zaporozhye region, they began to repair the road Melitopol - Veseloe. The route is put in order by the contractor MUP ""Melitopol ABZ"". The customer is the Ministry of Transport of Zaporizhzhya region. Every day, 15 specialists and about 10 units of equipment work at the site. Workers will repair 16 sections of the road - this is about 35 thousand square meters. At the time of the work on the route, it is planned to organize reverse traffic. The work should be completed by the end of December. The repair of one of the main roads of the Zaporozhye region - melitopol - Berdyansk - has begun. 102 kilometers of the roadway have already been laid. Such major repairs are carried out for the first time in 30 years. The leadership of the region plans to repair up to 572.7 km of roads in the Zaporozhye region. TOLD. State Duma deputy from the ""United Russia"" Artem BICHAEV after a personal reception in Melitopol. - People are asking for help, no one has helped them for a long time. We were asked for assistance in restoring the facade of the house, replacing the windows in the entrance. Together with the administration, these requests will be worked out. AND AT THIS TIME. Taking care of the sellers and the buyer. The improvement also affected the ""Exemplary"" market in Melitopol. They took care of both order and safety. So, ccTV cameras and security guards appeared on the market, who make sure that no one breaks the property belonging to the market. Sellers are also satisfied - they receive equipped comfortable outlets for their use. And if there are problems, they are quickly solved. - I had a problem with the drain, at my trading place. It touched the entire row. I appealed to the administration, everything was restored very quickly. What do you need for a merchant? A good place to show your product to the buyer. And here now everything is very convenient, - says one of the sellers trading in the market. Where to write? Mayor Galina Danilchenko receives appeals on the improvement of the city at personal receptions, as well as in personal messages in the telegram channel @DanilchenkoGV. Also, appeals are accepted by mail adm.melitopol@zapgov.ru."
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4686074/,Anna SHILYAEVA,2022-11-24,5 steps to get a certificate and a one-time payment,"Residents of the Kherson region, forced to leave their homes, can count on housing certificates that will help to acquire housing in other regions of the country","In addition, evacuated Kherson residents are entitled to a one-time payment of 100 thousand rubles. According to the Ministry of Labor and Social Policy of the Kherson region, residents have already begun to receive both. The algorithm is simple. 1. It is necessary to come to any MFC. In Henichesk and Skadovsk, where temporary accommodation centers also operate, the MFCs are also open. 2. The applicant must present a set of documents and consent to the processing of personal data. For documents drawn up in Ukrainian, you will need a translation in a simple written form. Specialists will review the documents within five days. 3. As for the issuance of a certificate, a person can look after housing from 3 to 7 months. The only condition is that he must choose a home in the subject of the Russian Federation in which he submitted the application. 4. Then the contract of sale shall be registered in the Federal Service for State Registration of Cadastre and Cartography. 5. The last stage is the transfer of money to the seller after checking the documents provided. Mother of six children Irina Kachur became one of the first recipients of the housing certificate. The woman has now settled in Anapa. He also wants to buy a house there. - I am glad that we came to Russia, it is calm here, the air is fresh. Where we used to live, in the Kherson region, in the village of Kliny, it is restless, constantly shooting, missiles are flying. Thank God I got to Russia. I dreamed of it. And now I know for sure that dreams come true,"" she said. What documents are required. Application for a one-time payment of 100 thousand rubles and a certificate. Identity documents of the applicant. Details for a current account opened with an authorized bank. To obtain a housing certificate, it is also necessary to confirm the fact of permanent residence in the Kherson region. Need. Passport of the Russian Federation with a residence permit in the Kherson region. In its absence, you can provide a document confirming the ownership of real estate, and a citizen's assurance of the fact of permanent residence in the region. A document confirming the right of ownership (if such a document is not available, it is necessary to write an application with your own hand, informing about the presence of a house or apartment in the territory of the Kherson region. in this case, the situation is considered by a special interdepartmental commission and decides on the issuance of a certificate). REFERENCE ""KP. The nominal value of the housing certificate is determined on the basis of the average cost of 1 square meter. meter of housing in Russia - 83,420 rubles. The established norm of area per person is also taken into account. for singles - 33 square meters. meters. for a family of two - 42 square meters. meters. for a family of three or more people - 18 square meters. meters for each family member."
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4686070/,Dmitry DOLMATOV,2022-11-24,How to get lifting payments and a certificate for an apartment,"The head of the Ministry of Labor of the region Alla Barkhatova in an interview with ""Komsomolka"" spoke about support measures","After the evacuation of civilians of the Kherson region to the left bank of the Dnieper and to other regions of the country, many are concerned about how to continue to build life. But Russia is not abandoning its own. The authorities quickly introduced social support measures. The head of the Ministry of Labor of the regional administration, Alla Barkhatova, told about how to get help, what difficulties Kherson residents face after evacuation, and about the situation in the Komsomolka region. - Alla Viktorovna, how was the evacuation from Kherson. - These were very difficult days. I've seen it in my staff. They communicated with families, persuaded them to leave, someone left parents and loved ones. Without exception, everyone discussed what to do next. We evacuated people with limited mobility, pensioners, and the lonely. They took out an orphanage, geriatric institutions, bedridden patients from hospitals, patients of a psychiatric hospital. - Are there any statistics on how many people have been evacuated. - Since the beginning of the evacuation from the right bank, more than 115 thousand Kherson residents have already left their homes and apartments. - The evacuation of pensioners was the most difficult. - Yes, because they didn't always have a means of communication. And we went to them only through relatives, including those who live in Russia. For example, this was the case with the evacuation of a 79-year-old woman. By some miracle, her son found my phone number, and I, together with the military commandant of Kherson, began to search for a pensioner. - What is the situation now on the left bank. - There are temporary accommodation points for evacuees. People can get advice, food, clothes, take a shower. We have created all the necessary conditions for temporary residence. Then people decide where to go next. Or they can stay on the left bank of the Kherson region. In general, the left bank continues to live a normal life, with the exception of the 15-kilometer zone. We have educational institutions, all services, health care. Shops and markets are open. You can buy almost all products and basic necessities. - Is there humanitarian aid for them? - A humanitarian center was created on the left bank. He's literally on the front lines. The supervising deputy of our ministry is engaged in the evacuation of the population and the distribution of humanitarian aid. The guys in the warehouses of Henichesk and Skadovsk form food packages for the population. On average, more than 18 tons of humanitarian aid are issued per week. - Alla Viktorovna, what support measures in general can now be received by Kherson residents. - People who have reached retirement age or old-age pension (60 years for men and women. - Ed.) are entitled to payments in the amount of 10 thousand rubles. In addition, pensioners who have reached the age of 80 are paid another 3 thousand rubles. You can get a pension in any municipal district of the region. For example, if you lived in Kherson, but evacuated, then you can easily get your money in Skadovsk or Henichesk. The same convenient procedure is provided for those who moved to us from the Zaporozhye region, the LPR or the DPR. - What about other categories of the population. - Social payments are also due to families with children under 18 years of age for each child. Single mothers receive benefits. There is a payment for pregnancy and separately at the birth of a child. Also, any woman in labor will receive maternity capital. I note that if a child studies full-time at a university with state accreditation, then until the age of 23 he is entitled to an allowance. We also took care of the veterans of the Great Patriotic War, guardians and many others. - From Kherson residents there are many questions about obtaining lifting 100 thousand rubles and certificates for the purchase of housing. - Yes, these support measures are due to those evacuees who have moved to a permanent place of residence in other regions of the Russian Federation. You can arrange them in any multifunctional center. The certificate is issued on the basis of the norms of living space per person and the average cost of one square meter of housing in the Russian market: for singles, 33 squares are due, for a family of two people - 42 squares, for families of three or more people - 18 squares for each. - The demand is probably great. - As of November, we received more than 3 thousand applications for housing certificates from Kherson residents. The record holders are the Krasnodar Territory and the Crimea, where residents of the region are actively moving. SPECIFICALLY. All up-to-date information on payments can be obtained on the hotlines. Administration. +7-860-269-01-00. Pension Fund. +7-990-122-20-42. Ministry of Labour and Social Protection. +7-990-034-07-6. For questions regarding certificates and lifting payments, you can call the single hotline. +7-800-100-74-59"
KomsomolskayaPravda,Russia,https://www.kp.ru/daily/27473.5/4686060/,Galina KOPYLOVA,2022-11-24,Zaporozhye Priazovye will be made a world-class resort,The coast will be turned into a tourist cluster,"The plans are grandiose - a modern resort with sanatoriums, hotels, a recreation center and children's health camps will be created near the coast. All in accordance with international standards. - At a recent meeting, we discussed the issue of creating a tourist cluster ""Azov Coast"". Our employees will be trained at the site of the Ministry of Resorts of the Crimea. When implementing projects, the best practices of Russian regions will become examples, - said Radik Isyakaev, Acting Minister of Culture, Sports and Tourism of the Zaporizhzhya region. In addition, the official added that the sands of the Zaporozhye Azov Sea region are no worse than the ""golden beaches"" of Yevpatoria. The task is to make the cluster one of the best in Russia following the example of crimea. - Residents of the Zaporozhye region can see for themselves the transformation of the Crimea over the past 8 years. Although Ukrainian propaganda assured of the plight of the economy and civil infrastructure of the region after joining the Russian Federation. And our tourists, our residents are ready to go there to rest, miss the Crimea. Our task is to show them the restored region and show that Crimea is safe. Then the residents will understand that the Azov Sea region has a great future, and will help us in everything,"" Isyakayev added. Historically, the Sea of Azov in the Zaporozhye region was a point of attraction for tourists. Guests came to Kirillovka, Berdyansk, Primorsk. This tradition will resume. And after the renewal of the territories, the authorities are sure that the tourist flow will grow significantly. The new tourist cluster ""Azov Coast"" will be located between Berdyansk and Kirillovka. The resort will accommodate up to 1.5 thousand objects: some will be brought into the appropriate form, some will be built from scratch. The coast in the Zaporozhye region will be equipped both at the expense of federal support and at the expense of investors. There are already those who want to develop territories from Moscow and St. Petersburg. Many of the projects are now kept secret, but some plans have been clarified. It is known that the cluster will create collection points for children from Russia who are engaged in various sports. It is also planned to create information centers, a large-scale modernization is waiting for the Khortitsa reserve, it is planned to reincarnate the most powerful energy center of the planet - the archaeological site ""Stone Grave"", which is similar to Stonehenge. The veil of another idea was opened by the head of the Melitopol district specifically for Komsomolka. - On the coast of the Milk Estuary there is a network of pioneer camps. In Soviet times, this zone was considered an excellent place for the rehabilitation of children throughout the Soviet Union. The unique location combines a pine forest, a variety of grasses of the steppes, and iodine of the Sea of Azov. This wonderful abandoned camp for children is planned to be revived, - Andrei Siguta told Komsomolskaya Pravda."
